,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
36,Valley Regional Transit,DR,DO,Active,Full Reporter,Meridian,ID,108,"Boise City, ID",134.0,349684.0,66.0,338759.0,2017.0,9.0,2017.0,373554.0,59931.0,6.2331,95852.0,2249922.0,37.5419,1.5994
38,Valley Regional Transit,MB,DO,Active,Full Reporter,Meridian,ID,108,"Boise City, ID",134.0,349684.0,66.0,338759.0,2017.0,9.0,2017.0,7130715.0,1345418.0,5.3,841606.0,10571737.0,7.8576,0.6255
40,Municipality of Anchorage - Public Transportation Department,DR,PT,Active,Full Reporter,Anchorage,AK,149,"Anchorage, AK",85.0,251243.0,77.0,291826.0,2017.0,12.0,2017.0,1045320.0,172498.0,6.0599,931437.0,5703984.0,33.067,5.3997
41,Municipality of Anchorage - Public Transportation Department,MB,DO,Active,Full Reporter,Anchorage,AK,149,"Anchorage, AK",85.0,251243.0,77.0,291826.0,2017.0,12.0,2017.0,15161998.0,3190209.0,4.7527,3207156.0,22261016.0,6.9779,1.0053
42,Municipality of Anchorage - Public Transportation Department,MB,PT,Active,Full Reporter,Anchorage,AK,149,"Anchorage, AK",85.0,251243.0,77.0,291826.0,2017.0,12.0,2017.0,256990.0,51398.0,5.0,28066.0,819377.0,15.9418,0.5461
43,Municipality of Anchorage - Public Transportation Department,VP,PT,Active,Full Reporter,Anchorage,AK,149,"Anchorage, AK",85.0,251243.0,77.0,291826.0,2017.0,12.0,2017.0,6081006.0,201544.0,30.1721,755753.0,1011167.0,5.0171,3.7498
44,RiverCities Transit,DR,PT,Active,Full Reporter,Longview,WA,431,"Longview, WA-OR",33.0,63952.0,31.0,61598.0,2017.0,12.0,2017.0,152984.0,49546.0,3.0877,35145.0,1592693.0,32.1457,0.7093
45,RiverCities Transit,MB,DO,Active,Full Reporter,Longview,WA,431,"Longview, WA-OR",33.0,63952.0,31.0,61598.0,2017.0,12.0,2017.0,1616060.0,377835.0,4.2772,153470.0,3033187.0,8.0278,0.4062
46,RiverCities Transit,VP,DO,Active,Full Reporter,Longview,WA,431,"Longview, WA-OR",33.0,63952.0,31.0,61598.0,2017.0,12.0,2017.0,1016.0,18.0,56.4444,288.0,10914.0,606.3333,16.0
47,Ben Franklin Transit,DR,DO,Active,Full Reporter,Richland,WA,171,"Kennewick-Pasco, WA",102.0,210975.0,616.0,283830.0,2017.0,12.0,2017.0,2157652.0,293095.0,7.3616,317092.0,13201016.0,45.0401,1.0819
