,index,State,Automobiles,Buses,Trucks,Automobiles Per Capita,Motorcicles,Year
299,45,Utah,866723.0,1250.0,15407,1627606.0,28116.38,2000
300,46,Vermont,295640.0,2004.0,6663,514883.0,21740.48,2000
301,47,Virginia,3873910.0,18190.0,36532,6046127.0,60463.54,2000
302,48,Washington,2891430.0,9254.0,41340,5115866.0,117857.49,2000
303,49,West Virginia,795249.0,3204.0,30644,1441735.0,25705.43,2000
304,50,Wisconsin,2526849.0,13620.0,44780,4365525.0,178897.47,2000
305,51,Wyoming,215110.0,2766.0,12419,585690.0,19121.43,2000
306,1,Alabama,1765088.0,8826.0,26893,4235089.0,54507.39335004835,2001
307,2,Alaska,242293.0,2568.0,9936,597734.0,16744.38246572196,2001
308,3,Arizona,2263970.0,4725.0,19159,3967117.0,190539.43797196914,2001
309,4,Arkansas,973531.0,6936.0,11472,1863798.0,29264.360556594598,2001
310,5,California,17918760.0,49041.0,280402,28780056.0,473258.52335755853,2001
311,6,Colorado,2367565.0,5875.0,26598,4648820.0,194774.5480739253,2001
312,7,Connecticut  4/,2051140.0,10197.0,27310,2916868.0,51591.59892470119,2001
313,8,Delaware,410464.0,2062.0,2906,653085.0,12618.513256763656,2001
314,9,Dist. of Col.,203693.0,2669.0,6766,248862.0,1129.3485007665292,2001
315,10,Florida,8937563.0,45621.0,150647,14340102.0,299464.5528047203,2001
316,11,Georgia,4084746.0,18538.0,65710,7304785.0,90830.49580361605,2001
317,12,Hawaii,528622.0,4640.0,7914,868073.0,21436.43035912234,2001
318,13,Idaho,577762.0,3710.0,16958,1323848.0,39132.44209333724,2001
319,14,Illinois,6424601.0,17987.0,15428,9861490.0,256773.5117561845,2001
320,15,Indiana,3229359.0,28120.0,42226,5625031.0,126858.52725498048,2001
321,16,Iowa,1870457.0,8316.0,31180,3318309.0,137701.63553113054,2001
322,17,Kansas,842312.0,3880.0,19286,2330701.0,51487.31037844561,2001
323,18,Kentucky,2122875.0,13347.0,8489,3625700.0,46190.51925035795,2001
324,19,Louisiana,1994403.0,20815.0,23619,3608559.0,49989.43705448407,2001
325,20,Maine,617781.0,2836.0,11050,1017539.0,32707.480822763413,2001
326,21,Maryland,2595892.0,11923.0,23411,3938848.0,54605.4875611868,2001
327,22,Massachusetts,3530955.0,11673.0,39192,5198221.0,114962.55331017938,2001
328,23,Michigan,4903195.0,26060.0,77548,8453651.0,197774.48856652007,2001
329,24,Minnesota,2564940.0,15397.0,24308,4554186.0,151768.5192684022,2001
330,25,Mississippi,1147240.0,9234.0,16965,1953773.0,26827.39967862569,2001
331,26,Missouri,2490721.0,12424.0,16884,4207838.0,64470.44384617488,2001
332,27,Montana,460024.0,2814.0,17768,1033084.0,26371.503725912913,2001
333,28,Nebraska,833979.0,6209.0,19924,1633450.0,22788.47980117609,2001
334,29,Nevada,679137.0,1904.0,14808,1279828.0,32052.334920383113,2001
335,30,New Hampshire  4/,684378.0,1810.0,11538,1099540.0,53321.55050227143,2001
336,31,New Jersey  4/,4517906.0,22407.0,101479,6580025.0,125303.53151627874,2001
337,32,New Mexico,671132.0,3402.0,22696,1428460.0,28002.36112775598,2001
338,33,New York  4/,7597371.0,55698.0,93491,10196468.0,117850.39612568353,2001
339,34,North Carolina,3713667.0,31226.0,47882,6179751.0,86418.45773434329,2001
340,35,North Dakota,347620.0,2291.0,8796,707585.0,18182.53513235752,2001
341,36,Ohio,6666033.0,38330.0,76033,10554902.0,268201.58277463325,2001
342,37,Oklahoma,1748889.0,17039.0,47690,3281080.0,77196.5033860248,2001
343,38,Oregon,1559228.0,13572.0,31338,3039395.0,71642.44797172151,2001
344,39,Pennsylvania  4/,6231291.0,36478.0,66404,9630755.0,237276.5035595479,2001
345,40,Rhode Island  4/,536246.0,1860.0,5197,764478.0,21317.507028871936,2001
346,41,South Carolina,1919405.0,16630.0,26287,3142739.0,56411.47577973346,2001
347,42,South Dakota,389032.0,2598.0,13604,803496.0,31493.50970266704,2001
348,43,Tennessee,3011787.0,17080.0,54058,5138843.0,83645.52565059604,2001
349,44,Texas,7724309.0,79531.0,207713,14358757.0,210149.36535774815,2001
350,45,Utah,924021.0,1262.0,15627,1751734.0,38611.40905099435,2001
351,46,Vermont,301765.0,2073.0,6356,533785.0,24194.490604063223,2001
352,47,Virginia,3976364.0,18260.0,36607,6171381.0,64661.55675025058,2001
353,48,Washington,2903201.0,9719.0,41919,5179097.0,122618.48923003107,2001
354,49,West Virginia,786539.0,3120.0,30079,1452052.0,27265.426475825396,2001
355,50,Wisconsin,2579061.0,14004.0,45544,4472935.0,208801.47792250648,2001
356,51,Wyoming,211154.0,2811.0,12675,572623.0,20994.41733396519,2001
357,1,Alabama,1801678.0,8894.0,27037,4427999.0,61524.4,2002
