,FuelCode,StationName,Address,City,State_ABRR,Location,ZIP,Latitude,Longitude
8615,ELEC,JMIP Antique Mall,1509 N. Arizona Ave,Chandler,AZ,ARIZONA,85225,33.33112,-111.841078
8616,ELEC,LOS ALTOS HILLS,27500-27606 Purissima Rd,Los Altos Hills,CA,CALIFORNIA,94022,37.377491,-122.14718629999999
8617,ELEC,GRAND BLANC BMW,9099 Holly Rd,Grand Blanc,MI,MICHIGAN,48439,42.9001458,-83.6300377
8618,ELEC,Star Nissan,5200 State Route 30,Greensburg,PA,PENNSYLVANIA,15601,40.302298,-79.503155
8619,CNG,Pierce Transit - Private Access,3701 96th St SW,Lakewood,WA,WASHINGTON,98499,47.170858100000004,-122.484504
8620,ELEC,Maguire Nissan,504 S Meadow St,Ithaca,NY,NEW YORK,14850,42.434863,-76.50889699999999
8621,ELEC,SIERRA COLLEGE,5000 Rocklin Rd,Rocklin,CA,CALIFORNIA,95677,38.790380799999994,-121.21322009999999
8622,CNG,EQT - Strip District,2926 Smallman St,Pittsburgh,PA,PENNSYLVANIA,15201,40.4591542,-79.9740689
8623,ELEC,Kwik Trip #880,5801 96th Ave N,Brooklyn Park,MN,MINNESOTA,55443,45.1290301,-93.3492837
8624,ELEC,FASTPARK,6655 Will Clayton Pkwy,Humble,TX,TEXAS,77338,29.983555499999998,-95.29277809999999
8625,ELEC,Middle Tennessee Electric Membership Corp - District Office,2156 Curd Ln,Franklin,TN,TENNESSEE,37067,35.921940899999996,-86.82131690000001
8626,LPG,Suburban Propane,3871 W State Rd 54,Bloomfield,IN,INDIANA,47424,39.031642,-87.013814
8627,ELEC,MARINA MAR CHG,4100 Admiralty Way,Marina del Rey,CA,CALIFORNIA,90292,33.9824424,-118.45971809999999
8628,ELEC,Dick Smith Nissan,5536 Sunset Blvd,Lexington,SC,SOUTH CAROLINA,29072,33.9971464,-81.2218337
8629,CNG,Clean Energy - Central Jersey Waste,500 Breunig Ave,Trenton,NJ,NEW JERSEY,8638,40.237854999999996,-74.73679
8630,ELEC,McKinnon Nissan,135 Price Dr,Clanton,AL,ALABAMA,35046,32.888783000000004,-86.622664
8631,ELEC,Pohanka Nissan,5200 Jefferson Davis Hwy,Fredericksburg,VA,VIRGINIA,22408,38.25524,-77.4976
8632,ELEC,Autonation Nissan,25550 Kingsland Blvd,Katy,TX,TEXAS,77494,29.7751749,-95.81688659999999
8633,ELEC,West Regional Library,4000 Louis Stephens Dr,Cary,NC,NORTH CAROLINA,27519,35.81442020000001,-78.86524920000001
8634,CNG,Baxter Field Station - Wexpro,79 S State St,Salt Lake City,UT,UTAH,84111,40.7671817,-111.8881324
8635,CNG,Clean Energy - Orange County Airport Hertz,4023 Birch St,Newport Beach,CA,CALIFORNIA,92660,33.665216,-117.870106
8636,ELEC,City of San Antonio - Marina Garage,850 E Commerce St,San Antonio,TX,TEXAS,78205,29.422807000000002,-98.48543599999999
8637,ELEC,Healthy Pets,2001 NE Alberta St,Portland,OR,OREGON,97211,45.5590859,-122.64482509999999
8638,ELEC,Perdue North,1101 Camden Ave.,Salisbury,MD,MARYLAND,21801,38.3444766,-75.6058571
8639,ELEC,BEVERLY HILLS,9333 3rd St.,Beverly Hills,CA,CALIFORNIA,90210,34.0736526,-118.39709450000001
8640,LPG,Flying J,I-80 & Big Springs Rd,Big Springs,NE,NEBRASKA,69122,41.050791,-102.070559
8641,ELEC,Kwik Star #207,1420 11th St,De Witt,IA,IOWA,52742,41.826527,-90.55175
8642,ELEC,BMW OF DAYTON,7124 Poe Ave,Dayton,OH,OHIO,45414,39.8504309,-84.1882588
8643,ELEC,Rainbow Parking - Seattle Metropolitan Credit Union,214 Columbia St,Seattle,WA,WASHINGTON,98104,47.6043763,-122.3330763
