,Unique ID,FacilityName,Rank_TRI_14,Rank_GHG_14,Latitude,Longitude,LocationAddress,City,Location,ZIP,County,FIPScode,IndustryType,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
701,1.10E+11,PILKINGTON NORTH AMERICA INCORPORATED,11193.0,6760.0,37.81075,-121.28575,500 E LOUISE AVE,LATHROP,CALIFORNIA,95330,SAN JOAQUIN,6077.0,Minerals,7110,95720,94089,100714,97103
710,1.10E+11,PHILLIPS 66 CO-SANTA MARIA REFINERY,2957.0,1429.0,35.038889000000005,-120.589722,2555 WILLOW RD,ARROYO GRANDE,CALIFORNIA,93420,SAN LUIS OBISPO,6079.0,"Petroleum Product Suppliers,Refineries",247962,252575,239282,241097,241773
727,1.10E+11,LEHIGH SOUTHWEST CEMENT COMPANY,1975.0,655.0,37.320078,-122.091012,24001 STEVENS CREEK BLVD,CUPERTINO,CALIFORNIA,95014,SANTA CLARA,6085.0,Minerals,934984,962690,914403,847310,667789
728,1.10E+11,GRAPHIC PACKAGING INTERNATIONAL INC,13527.0,2180.0,37.36696,-121.94145,2600 DE LA CRUZ BLVD,SANTA CLARA,CALIFORNIA,950502618,SANTA CLARA,6085.0,Pulp and Paper,122558,126558,121191,125076,121340
729,1.10E+11,LOCKHEED MARTIN SPACE SYSTEMS CO,13852.0,5655.0,37.4166,-122.03598999999998,1111 LOCKHEED MARTIN WAY,SUNNYVALE,CALIFORNIA,94089,SANTA CLARA,6085.0,Other,27206,28746,29643,27735,27868
747,1.10E+11,KNAUF INSULATION GMBH,996.0,6199.0,40.65766,-122.38861999999999,3100 ASHBY RD,SHASTA LAKE,CALIFORNIA,96019,SHASTA,6089.0,Minerals,20038,22080,20755,21226,21340
748,1.10E+11,LEHIGH SOUTHWEST CEMENT CO,1638.0,1438.0,40.7369,-122.3223,15390 WONDERLAND BLVD,REDDING,CALIFORNIA,96003,SHASTA,6089.0,Minerals,245605,267831,229501,189204,176326
753,1.10E+11,VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,674.0,262.0,38.074864,-122.143574,3400 E 2ND ST,BENICIA,CALIFORNIA,945101005,SOLANO,6095.0,"Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",2750897,2485328,3044757,2589530,2671370
754,1.10E+11,ANHEUSER-BUSCH LLC - FAIRFIELD BREWERY,5403.0,6477.0,38.237784999999995,-122.09461,3101 BUSCH DR,FAIRFIELD,CALIFORNIA,94534,SOLANO,6095.0,Other,14243,14639,14602,16077,18547
763,1.10E+11,CONAGRA GROCERY PRODUCTS,3258.0,3016.0,37.76078,-120.84308,554 S YOSEMITE AVE,OAKDALE,CALIFORNIA,95361,STANISLAUS,6099.0,Other,76427,73191,64617,66787,69894
789,1.10E+11,NEW-INDY OXNARD LLC,2760.0,2172.0,34.14045,-119.184,5936 PERKINS RD,OXNARD,CALIFORNIA,93033,VENTURA,6111.0,Pulp and Paper,123486,122090,124343,105119,118725
790,1.10E+11,THE PROCTER & GAMBLE PAPER PRODUCT CO,5165.0,1277.0,34.20915,-119.14208,800 N RICE AVE,OXNARD,CALIFORNIA,93030,VENTURA,6111.0,Pulp and Paper,313791,324379,330481,331942,327698
801,1.10E+11,AGRIUM US INC,7824.0,6369.0,38.558333000000005,-121.575833,3961 CHANNEL DR,WEST SACRAMENTO,CALIFORNIA,95691,YOLO,6113.0,Chemicals,16551,14430,28539,28280,4521
